Price,Close,High,Low,Open,Volume
Ticker,PRAX,PRAX,PRAX,PRAX,PRAX
Date,,,,,
2020-10-16,417.0,462.29998779296875,382.5,389.1000061035156,288287
2020-10-19,408.75,435.29998779296875,397.5,408.1499938964844,19000
2020-10-20,416.25,426.2250061035156,372.8999938964844,402.75,36300
2020-10-21,448.79998779296875,460.5,405.0,414.75,18933
2020-10-22,480.0,480.0,421.04998779296875,448.5,18393
2020-10-23,464.8500061035156,482.17498779296875,446.17498779296875,481.20001220703125,16767
2020-10-26,465.0,480.0,440.19000244140625,457.3500061035156,8513
2020-10-27,471.1499938964844,475.95001220703125,445.79998779296875,459.29998779296875,4313
2020-10-28,481.04998779296875,486.45001220703125,445.3500061035156,468.1499938964844,6987
2020-10-29,512.7000122070312,531.405029296875,484.20001220703125,486.8999938964844,9907
2020-10-30,525.0,530.0999755859375,497.70001220703125,518.7000122070312,4067
2020-11-02,502.3500061035156,525.0,487.79998779296875,525.0,12167
2020-11-03,492.0,529.9500122070312,484.79998779296875,509.1000061035156,10320
2020-11-04,493.20001220703125,509.70001220703125,470.70001220703125,492.6000061035156,13580
2020-11-05,524.4000244140625,529.3499755859375,484.6499938964844,492.75,13207
2020-11-06,516.0,576.2999877929688,498.1499938964844,519.9000244140625,18473
2020-11-09,536.5499877929688,563.25,489.6000061035156,516.1500244140625,10180
2020-11-10,419.70001220703125,464.70001220703125,358.5,376.20001220703125,83240
2020-11-11,472.20001220703125,485.32501220703125,420.45001220703125,420.45001220703125,36507
2020-11-12,500.25,507.0,472.5,473.54998779296875,16420
2020-11-13,506.8500061035156,526.7999877929688,484.6499938964844,505.04998779296875,22213
2020-11-16,472.20001220703125,512.5499877929688,467.54998779296875,512.5499877929688,14667
2020-11-17,522.9000244140625,570.0,436.3500061035156,464.8500061035156,17060
2020-11-18,526.3499755859375,534.5999755859375,493.04998779296875,527.25,10727
2020-11-19,510.29998779296875,530.1749877929688,493.6499938964844,517.9500122070312,19373
2020-11-20,518.5499877929688,531.4500122070312,504.29998779296875,516.1500244140625,13607
