Price,Close,High,Low,Open,Volume
Ticker,RDNW,RDNW,RDNW,RDNW,RDNW
Date,,,,,
2017-02-02,85.0,85.0,80.0,80.0,15
2017-02-03,85.0,85.0,85.0,85.0,0
2017-02-06,85.0,85.0,85.0,85.0,0
2017-02-07,85.0,85.0,85.0,85.0,0
2017-02-08,85.0,85.0,85.0,85.0,0
2017-02-09,85.0,85.0,85.0,85.0,0
2017-02-10,85.0,85.0,85.0,85.0,0
2017-02-13,85.0,85.0,85.0,85.0,0
2017-02-14,85.0,85.0,85.0,85.0,0
2017-02-15,85.0,85.0,85.0,85.0,0
2017-02-16,85.0,85.0,85.0,85.0,0
2017-02-17,85.0,85.0,85.0,85.0,0
2017-02-21,85.0,85.0,85.0,85.0,0
2017-02-22,85.0,85.0,85.0,85.0,0
2017-02-23,85.0,85.0,85.0,85.0,0
2017-02-24,85.0,85.0,85.0,85.0,0
2017-02-27,85.0,85.0,85.0,85.0,0
2017-02-28,82.0,90.0,82.0,90.0,65
2017-03-01,82.0,82.0,82.0,82.0,0
2017-03-02,82.0,82.0,82.0,82.0,0
2017-03-03,82.0,82.0,82.0,82.0,0
2017-03-06,82.0,82.0,82.0,82.0,0
2017-03-07,82.0,82.0,82.0,82.0,0
2017-03-08,82.0,82.0,82.0,82.0,0
2017-03-09,78.0,82.0,78.0,82.0,75
2017-03-10,68.0,79.0,68.0,78.0,105
2017-03-13,68.0,68.0,68.0,68.0,0
2017-03-14,80.0,80.0,74.0,74.0,100
2017-03-15,80.0,80.0,80.0,80.0,125
2017-03-16,100.0,100.0,100.0,100.0,10
2017-03-17,100.0,100.0,100.0,100.0,0
2017-03-20,100.0,100.0,100.0,100.0,0
2017-03-21,95.0,95.0,95.0,95.0,30
2017-03-22,95.0,95.0,95.0,95.0,0
2017-03-23,95.0,95.0,95.0,95.0,0
2017-03-24,95.0,95.0,95.0,95.0,0
2017-03-27,95.0,95.0,95.0,95.0,0
2017-03-28,95.0,95.0,95.0,95.0,0
2017-03-29,95.0,95.0,95.0,95.0,0
2017-03-30,70.0,80.0,70.0,80.0,70
2017-03-31,70.0,70.0,70.0,70.0,30
2017-04-03,70.0,70.0,70.0,70.0,15
2017-04-04,70.0,70.0,70.0,70.0,55
2017-04-05,70.0,80.0,70.0,80.0,45
2017-04-06,70.0,70.0,70.0,70.0,0
2017-04-07,70.0,70.0,70.0,70.0,0
2017-04-10,70.0,70.0,70.0,70.0,0
2017-04-11,70.0,70.0,70.0,70.0,0
2017-04-12,70.0,70.0,70.0,70.0,0
2017-04-13,80.0,80.0,80.0,80.0,5
2017-04-17,80.0,80.0,80.0,80.0,0
2017-04-18,70.0,75.0,70.0,75.0,100
2017-04-19,70.0,70.0,70.0,70.0,25
