Price,Close,High,Low,Open,Volume
Ticker,AGMH,AGMH,AGMH,AGMH,AGMH
Date,,,,,
2018-04-18,315.0,375.0,250.5,287.5,5836
2018-04-19,424.0,443.0,334.20001220703125,340.0,5992
2018-04-20,389.3999938964844,749.5,379.5,663.0,16608
2018-04-23,420.0,429.0,350.5,375.0,2052
2018-04-24,422.5,432.0,364.0,406.0,1752
2018-04-25,530.5,535.5,391.0,425.5,3316
2018-04-26,486.5,641.5,428.0,573.0,14784
2018-04-27,523.5,537.0,485.0,518.0,1644
2018-04-30,480.0,552.5,456.0,528.0,2422
2018-05-01,427.5,499.0,416.0,485.5,2294
2018-05-02,460.0,499.5,412.5,412.5,3788
2018-05-03,461.5,497.5,450.0,461.5,972
2018-05-04,448.0,507.0,427.5,461.5,2032
2018-05-07,493.5,585.3499755859375,447.5,454.0,5216
2018-05-08,474.0,524.5,459.0,493.5,2444
2018-05-09,520.0,523.0,445.0,477.0,4706
2018-05-10,552.5,605.4500122070312,510.6499938964844,510.6499938964844,3930
2018-05-11,515.0,551.5,497.75,525.5,1586
2018-05-14,477.5,533.5,470.0,515.5,1520
2018-05-15,496.5,533.5,478.0,478.0,1780
2018-05-16,479.5,514.0,458.0,500.0,2924
2018-05-17,439.0,475.0,439.0,472.5,3048
2018-05-18,431.0,444.0,427.5,444.0,1280
2018-05-21,455.5,461.5,424.0,428.5,920
2018-05-22,440.0,452.0,430.5,452.0,1410
2018-05-23,461.0,462.5,434.5,436.5,1400
2018-05-24,492.5,524.5,453.5,464.0,2596
2018-05-25,498.5,513.5,462.04998779296875,496.0,2160
2018-05-29,502.0,530.0,483.0,495.0,1634
2018-05-30,503.5,517.5,491.0,505.5,626
2018-05-31,492.0,508.0,490.75,494.5,658
2018-06-01,506.5,515.0,491.0,492.0,1066
2018-06-04,500.0,573.4500122070312,478.0,515.5,1864
2018-06-05,490.5,505.5,479.5,500.0,964
2018-06-06,503.5,547.0,483.0,483.0,762
2018-06-07,497.5,526.5,490.5,497.75,1180
2018-06-08,514.0,514.0,485.5,498.5,1584
2018-06-11,513.0,547.0,492.54998779296875,495.5,1702
2018-06-12,669.5,669.5,513.5,517.0,3820
2018-06-13,811.0,812.5,665.0,668.5,4398
2018-06-14,1390.0,1564.0,816.5,816.5,16070
2018-06-15,1470.5,1881.5,1316.5,1380.5,7384
2018-06-18,1407.0,1470.0,1219.0,1463.0,2110
2018-06-19,1275.0,1600.0,1233.050048828125,1394.0,2346
2018-06-20,1289.0,1408.5,1194.5,1264.5,1066
2018-06-21,1425.0,1549.5,1229.5,1304.0,2874
2018-06-22,1358.0,1522.0,1336.5,1403.5,1810
2018-06-25,1292.5,1402.5,1285.0,1353.0,806
2018-06-26,1200.5,1302.0,1056.5,1302.0,1550
2018-06-27,1225.0,1297.5,1171.0,1171.0,418
2018-06-28,1212.5,1275.0,1175.050048828125,1216.5,1720
2018-06-29,1184.0,1279.5,1180.0,1255.0,586
2018-07-02,970.0,1190.5,956.5,1190.5,1354
2018-07-03,1036.0,1048.5,976.75,983.0,1242
2018-07-05,1092.0,1122.0,1023.5,1043.5,1092
2018-07-06,1133.0,1160.0,966.0,1084.5,1848
2018-07-09,1062.25,1189.5,1038.0999755859375,1131.0,1406
2018-07-10,970.5,1110.0,970.5,1104.5,1732
2018-07-11,884.5,1040.5,869.0,952.5,2950
2018-07-12,848.5,982.0,825.5,877.5,1734
2018-07-13,852.0,900.4000244140625,852.0,883.0,1630
2018-07-16,831.5,885.0,831.5,885.0,618
2018-07-17,863.0,887.5,855.5,867.5,592
2018-07-18,857.5,911.9500122070312,850.5,864.0,530
2018-07-19,692.0,877.5,673.25,868.0,766
2018-07-20,629.0,690.5,617.0,690.5,536
2018-07-23,630.5,645.7999877929688,630.0,632.5,76
2018-07-24,675.0499877929688,748.0499877929688,635.5,635.5,318
2018-07-25,699.5,699.5,675.5,678.5,46
2018-07-26,661.0,702.5,660.0,689.0,310
2018-07-27,784.5,850.0,653.5,653.5,782
2018-07-30,774.0,815.0,735.0,815.0,254
2018-07-31,714.5,836.5,714.0,836.5,118
2018-08-01,764.5,774.75,711.6500244140625,711.6500244140625,158
2018-08-02,744.0,765.0,727.25,765.0,290
2018-08-03,790.5,809.5,737.0,738.0,316
2018-08-06,780.0,827.5,777.5,796.5,264
2018-08-07,793.0,818.4000244140625,785.1500244140625,790.0,104
2018-08-08,771.5,843.0999755859375,765.0,843.0999755859375,414
2018-08-09,716.0,795.0,716.0,795.0,992
2018-08-10,712.5,715.0,697.5,712.5,230
2018-08-13,750.0,754.0,669.0,725.0,602
2018-08-14,798.75,800.0,722.5,750.0,368
2018-08-15,727.5,790.0,722.5999755859375,790.0,798
2018-08-16,712.0,735.0,635.5,662.3499755859375,2224
2018-08-17,713.0,725.0,693.0,725.0,998
2018-08-20,780.5,850.0,762.5,762.5,1076
2018-08-21,940.5,976.5,766.5,806.0,2236
2018-08-22,1000.0,1076.5,899.2999877929688,940.0,788
2018-08-23,984.0,1040.0,963.5,1008.0,418
2018-08-24,940.5,1000.0,938.0499877929688,981.0,336
2018-08-27,1200.5,1227.5,854.0,939.0,910
2018-08-28,1363.0,1472.0,1148.0,1192.5,864
2018-08-29,1342.5,1351.0,1147.5,1350.0,752
2018-08-30,1375.0,1409.5,1281.5,1281.5,530
2018-08-31,1300.0,1354.0,1225.0,1354.0,634
2018-09-04,1336.0,1394.5,1188.0,1228.0,1364
2018-09-05,1318.0,1350.0,1290.0,1313.5,956
2018-09-06,1185.0,1300.0,1133.1500244140625,1300.0,822
2018-09-07,1099.5,1185.0,1099.5,1175.0,120
2018-09-10,1050.0,1099.5,1050.0,1099.5,32
2018-09-11,1005.0,1040.5,883.5499877929688,1040.5,542
2018-09-12,1020.0,1075.0,868.5,917.9000244140625,3068
2018-09-13,1040.0,1074.800048828125,1020.0,1025.1500244140625,226
2018-09-14,991.0,1082.550048828125,947.0,1030.5,780
2018-09-17,958.5,1034.0,958.5,983.5,838
2018-09-18,1025.0,1048.75,879.75,967.5,516
2018-09-19,1095.0,1100.0,1000.0,1023.0,354
2018-09-20,1459.0,1475.0,1021.0,1061.0,452
2018-09-21,1288.5,1560.0,1250.5,1504.0,986
2018-09-24,1138.5,1231.0,1092.5,1225.0,88
2018-09-25,1223.0,1296.5,1200.0,1246.5,166
2018-09-26,1473.449951171875,1626.5,1260.5,1272.0,758
2018-09-27,1453.0,1492.300048828125,1371.5,1421.5,108
2018-09-28,1950.0,1950.0,1366.0,1434.5,300
2018-10-01,1744.5,2600.050048828125,1675.0,1730.0,1412
2018-10-02,1800.0,1890.25,1560.550048828125,1560.550048828125,286
2018-10-03,1650.0,1800.0,1648.5,1800.0,274
2018-10-04,1708.5,1708.5,1546.5999755859375,1553.5,132
2018-10-05,1610.0,1755.0,1541.5,1541.5,34
2018-10-08,1567.25,1616.0,1529.5,1610.0,34
2018-10-09,1747.5,1750.0,1747.5,1750.0,20
2018-10-10,1733.5,1794.699951171875,1645.0,1750.0,292
2018-10-11,1855.5,1877.0,1641.5,1641.5,398
2018-10-12,1774.0,2500.0,1725.0,1875.0,484
2018-10-15,1872.0,1872.0,1602.5,1737.5,258
2018-10-16,1943.6500244140625,2000.0,1727.5,1997.5,242
2018-10-17,1868.5,2040.0,1868.5,2040.0,116
2018-10-18,2035.0,2040.0,1891.9000244140625,1995.0,426
2018-10-19,1927.0,2139.949951171875,1840.5,2100.0,242
2018-10-22,1800.0,1907.0,1762.5,1875.5,160
2018-10-23,1697.699951171875,1836.5,1669.5,1750.0,52
2018-10-24,1631.5,1775.0,1593.5,1693.0,48
2018-10-25,1685.5999755859375,1685.5999755859375,1685.5999755859375,1685.5999755859375,10
2018-10-26,1710.0,1710.0,1576.050048828125,1623.300048828125,20
2018-10-29,1650.0,1692.0,1521.6500244140625,1692.0,54
2018-10-30,1646.75,1646.75,1525.0,1535.0,10
2018-10-31,1535.800048828125,1600.0,1514.0,1600.0,50
2018-11-01,1553.0,1597.5,1515.0,1550.0,46
2018-11-02,1650.0,1650.0,1533.1500244140625,1647.0,38
2018-11-05,1561.5,1561.5,1561.5,1561.5,12
2018-11-06,1288.5,1525.5,1275.0,1525.5,82
2018-11-07,1213.5999755859375,1385.5,1200.0,1303.0,244
2018-11-08,1213.5999755859375,1213.5999755859375,1213.5999755859375,1213.5999755859375,16
