Date,MACD_Line,MACD_Signal,MACD_Histogram,MACD_Sinal
2006-06-05,0.00,0.00,0.00,Neutro
2006-06-06,0.00,0.00,0.00,Neutro
2006-06-07,0.00,0.00,0.00,Neutro
2006-06-08,0.00,0.00,0.00,Neutro
2006-06-09,0.00,0.00,0.00,Neutro
2006-06-12,0.00,0.00,0.00,Neutro
2006-06-13,0.00,0.00,0.00,Neutro
2006-06-14,0.00,0.00,0.00,Neutro
2006-06-15,0.00,0.00,0.00,Neutro
2006-06-16,0.00,0.00,0.00,Neutro
2006-06-19,0.00,0.00,0.00,Neutro
2006-06-20,0.00,0.00,0.00,Neutro
2006-06-21,0.00,0.00,0.00,Neutro
2006-06-22,0.00,0.00,0.00,Neutro
2006-06-23,0.00,0.00,0.00,Neutro
2006-06-26,0.00,0.00,0.00,Neutro
2006-06-27,0.00,0.00,0.00,Neutro
2006-06-28,0.00,0.00,0.00,Neutro
2006-06-29,0.00,0.00,0.00,Neutro
2006-06-30,0.00,0.00,0.00,Neutro
2006-07-03,0.00,0.00,0.00,Neutro
2006-07-05,0.00,0.00,0.00,Neutro
2006-07-06,0.00,0.00,0.00,Neutro
2006-07-07,0.00,0.00,0.00,Neutro
2006-07-10,0.00,0.00,0.00,Neutro
2006-07-11,0.00,0.00,0.00,Neutro
2006-07-12,0.00,0.00,0.00,Neutro
2006-07-13,0.00,0.00,0.00,Neutro
2006-07-14,0.00,0.00,0.00,Neutro
2006-07-17,0.00,0.00,0.00,Neutro
2006-07-18,0.00,0.00,0.00,Neutro
2006-07-19,0.00,0.00,0.00,Neutro
2006-07-20,0.00,0.00,0.00,Neutro
2006-07-21,0.00,0.00,0.00,Neutro
2006-07-24,0.00,0.00,0.00,Neutro
2006-07-25,0.00,0.00,0.00,Neutro
2006-07-26,0.00,0.00,0.00,Neutro
2006-07-27,0.00,0.00,0.00,Neutro
2006-07-28,0.00,0.00,0.00,Neutro
2006-07-31,0.00,0.00,0.00,Neutro
2006-08-01,0.00,0.00,0.00,Neutro
2006-08-02,0.00,0.00,0.00,Neutro
2006-08-03,0.00,0.00,0.00,Neutro
2006-08-04,0.00,0.00,0.00,Neutro
2006-08-07,0.00,0.00,0.00,Neutro
2006-08-08,0.00,0.00,0.00,Neutro
2006-08-09,0.00,0.00,0.00,Neutro
2006-08-10,0.00,0.00,0.00,Neutro
2006-08-11,0.00,0.00,0.00,Neutro
2006-08-14,0.00,0.00,0.00,Neutro
2006-08-15,0.00,0.00,0.00,Neutro
2006-08-16,0.00,0.00,0.00,Neutro
2006-08-17,0.00,0.00,0.00,Neutro
2006-08-18,0.00,0.00,0.00,Neutro
2006-08-21,0.00,0.00,0.00,Neutro
2006-08-22,0.00,0.00,0.00,Neutro
2006-08-23,0.00,0.00,0.00,Neutro
2006-08-24,0.00,0.00,0.00,Neutro
2006-08-25,0.00,0.00,0.00,Neutro
2006-08-28,0.00,0.00,0.00,Neutro
2006-08-29,0.00,0.00,0.00,Neutro
2006-08-30,0.00,0.00,0.00,Neutro
2006-08-31,0.00,0.00,0.00,Neutro
2006-09-01,0.00,0.00,0.00,Neutro
2006-09-05,0.00,0.00,0.00,Neutro
2006-09-06,0.00,0.00,0.00,Neutro
2006-09-07,0.00,0.00,0.00,Neutro
