Date,Dividends,Stock_Splits,Dividend_Yield,Dividend_Rate,Payout_Ratio,Dividend_1Y_Total,Dividend_1Y_Count,Last_Dividend,Ex_Dividend_Date
2026-05-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2026-04-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2026-03-31,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2026-02-27,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2026-01-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-12-31,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-11-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-10-31,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-09-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-08-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-07-31,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-06-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-05-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-04-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-03-31,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-02-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2025-01-31,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-12-31,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-11-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-10-31,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-09-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-08-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-07-31,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-06-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-05-31,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-04-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-03-27,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-02-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2024-01-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-12-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-11-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-10-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-09-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-08-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-07-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-06-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-05-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-04-27,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-03-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-02-27,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2023-01-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-12-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-11-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-10-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-09-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-08-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-07-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-06-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-05-27,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-04-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-03-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-02-25,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2022-01-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-12-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-11-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-10-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-09-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-08-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-07-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-06-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-05-27,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-04-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-03-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-02-25,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2021-01-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2020-12-30,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2020-11-27,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2020-10-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2020-09-29,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
2020-08-28,0.1200,1.0000,1416.0000,1.4400,112.5000,0.0000,0,0.1200,2026-05-28
