Date,Dividends,Stock_Splits,Dividend_Yield,Dividend_Rate,Payout_Ratio,Dividend_1Y_Total,Dividend_1Y_Count,Last_Dividend,Ex_Dividend_Date
2021-06-14,0.4580,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2021-03-12,0.4580,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2020-12-22,0.4300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2020-09-14,0.4300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2020-06-12,0.4300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2020-03-12,0.4300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2019-12-24,0.4050,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2019-09-12,0.4050,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2019-06-13,0.4050,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2019-03-14,0.4050,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2018-12-27,0.3800,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2018-09-13,0.3800,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2018-06-14,0.3800,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2018-03-14,0.3800,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2017-12-27,0.3600,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2017-09-14,0.3600,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2017-06-13,0.3600,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2017-03-13,0.3600,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2016-12-22,0.3400,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2016-09-13,0.3400,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2016-06-14,0.3400,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2016-03-11,0.3400,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2015-12-22,0.3200,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2015-09-15,0.3200,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2015-06-16,0.3200,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2015-03-13,0.3200,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2014-12-23,0.3000,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2014-09-16,0.3000,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2014-06-17,0.3000,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2014-03-18,0.3000,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2013-12-24,0.2800,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2013-09-17,0.2800,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2013-06-18,0.2800,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2013-03-19,0.2700,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2012-12-24,0.2700,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2012-09-18,0.2700,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2012-06-19,0.2700,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2012-03-20,0.2600,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2011-12-22,0.2600,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2011-09-20,0.2600,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2011-06-21,0.2600,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2011-03-22,0.2530,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2010-12-21,0.2530,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2010-09-21,0.2530,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2010-06-22,0.2530,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2010-03-23,0.2450,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2009-12-22,0.2450,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2009-09-22,0.2450,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2009-06-23,0.2450,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2009-03-24,0.2380,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2008-12-24,0.2380,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2008-09-23,0.2380,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2008-06-24,0.2380,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2008-03-25,0.2300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2007-12-24,0.2300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2007-09-25,0.2300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2007-06-26,0.2300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2007-03-27,0.2230,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2006-12-26,0.2230,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2006-09-26,0.2230,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2006-06-27,0.2230,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2006-03-28,0.2150,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2005-12-29,0.2150,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2005-09-27,0.2150,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2005-06-28,0.2150,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2005-03-29,0.2080,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2004-12-30,0.2080,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2004-09-29,0.2080,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2004-06-30,0.2080,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2004-03-31,0.1880,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2003-12-30,0.1880,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2003-12-11,0.1880,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2003-07-02,0.1880,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2003-06-05,0.1880,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2002-12-31,0.1880,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2002-10-03,0.1880,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2002-07-03,0.3750,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2002-04-04,0.3750,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2001-12-28,0.3750,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2001-09-28,0.3750,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2001-07-05,0.3750,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2001-03-29,0.3750,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2000-12-28,0.3750,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2000-10-04,0.2180,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2000-08-21,0.1590,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2000-07-11,0.3680,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
2000-04-11,0.3630,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1999-12-31,0.3630,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1999-09-29,0.3630,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1999-07-06,0.3630,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1999-04-05,0.3580,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1998-12-30,0.3580,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1998-09-29,0.3580,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1998-07-07,0.3580,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1998-06-02,0.0000,2.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1998-04-06,0.3525,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1997-12-30,0.3525,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1997-09-29,0.3525,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1997-07-07,0.3525,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1997-04-07,0.3450,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1996-12-31,0.3450,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1996-09-27,0.3450,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1996-07-09,0.3450,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1996-04-08,0.3375,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1995-12-28,0.3375,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1995-09-28,0.3375,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1995-07-11,0.3375,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1995-04-03,0.3300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1994-12-30,0.3300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1994-09-27,0.3300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1994-07-01,0.3300,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1994-04-04,0.3225,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1993-12-29,0.3225,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1993-09-27,0.3225,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1993-07-01,0.3225,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1993-04-02,0.3150,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1992-12-28,0.3150,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1992-09-25,0.3150,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1992-07-02,0.3150,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1992-04-02,0.3025,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1991-12-26,0.3025,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1991-09-25,0.3025,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1991-07-05,0.3025,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1991-04-02,0.2900,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1990-12-26,0.2900,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1990-09-25,0.2900,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1990-07-03,0.2900,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1990-04-03,0.2775,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1989-12-26,0.2775,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1989-09-26,0.2775,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1989-07-03,0.2775,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1989-03-28,0.2650,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1988-12-28,0.2650,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1988-09-27,0.2650,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1988-06-28,0.2650,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1988-03-28,0.2525,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1987-12-28,0.2525,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1987-09-29,0.2525,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1987-06-25,0.2525,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1987-03-31,0.2375,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1986-12-26,0.2375,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1986-09-30,0.2375,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1986-06-26,0.2375,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1986-06-16,0.0000,2.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1986-03-26,0.2200,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1985-12-26,0.2200,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1985-09-26,0.2200,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
1973-03-26,0.1148,1.0000,295.0000,2.3700,66.3500,0.0000,0,0.5930,2026-06-14
