Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-25,25.23,29.49,23.69,26.20,2828000,0.00,0.00
2020-09-28,25.36,31.44,25.25,27.79,450800,0.00,0.00
2020-09-29,27.32,30.02,26.03,28.84,424600,0.00,0.00
2020-09-30,28.40,30.31,27.20,30.13,129600,0.00,0.00
2020-10-01,31.45,34.88,30.51,33.50,1223400,0.00,0.00
2020-10-02,32.93,36.33,31.47,33.01,226100,0.00,0.00
2020-10-05,33.36,35.99,32.33,34.61,328600,0.00,0.00
2020-10-06,35.00,41.00,33.97,39.53,219100,0.00,0.00
2020-10-07,39.88,50.19,39.52,45.18,527400,0.00,0.00
2020-10-08,46.35,47.29,42.00,43.23,144700,0.00,0.00
2020-10-09,42.92,48.77,42.19,43.59,115200,0.00,0.00
2020-10-12,43.65,46.33,43.63,44.17,86100,0.00,0.00
2020-10-13,46.15,46.15,38.87,38.94,119300,0.00,0.00
2020-10-14,39.73,41.22,33.83,35.01,177000,0.00,0.00
2020-10-15,34.45,36.55,33.03,34.01,99500,0.00,0.00
2020-10-16,34.05,34.87,31.00,31.00,108600,0.00,0.00
2020-10-19,31.54,34.06,31.54,32.69,119900,0.00,0.00
2020-10-20,32.04,33.45,29.02,29.02,202400,0.00,0.00
2020-10-21,29.19,30.76,28.81,28.81,184100,0.00,0.00
2020-10-22,28.88,31.00,27.53,29.62,150200,0.00,0.00
2020-10-23,29.86,31.72,29.73,30.06,134800,0.00,0.00
2020-10-26,30.10,32.79,30.03,32.35,114500,0.00,0.00
2020-10-27,32.34,37.99,31.60,36.75,168400,0.00,0.00
2020-10-28,36.10,37.65,33.84,36.00,187500,0.00,0.00
2020-10-29,36.07,36.55,33.90,34.78,54100,0.00,0.00
2020-10-30,34.78,35.81,33.87,35.23,174000,0.00,0.00
2020-11-02,36.76,36.76,33.88,34.79,93300,0.00,0.00
2020-11-03,34.93,36.33,34.14,36.06,164900,0.00,0.00
2020-11-04,36.41,41.98,36.10,41.27,111800,0.00,0.00
2020-11-05,41.32,49.81,40.55,46.02,176500,0.00,0.00
2020-11-06,45.01,45.27,41.16,43.87,73500,0.00,0.00
2020-11-09,44.32,46.48,41.48,41.50,136300,0.00,0.00
2020-11-10,40.50,42.17,37.84,39.53,67900,0.00,0.00
2020-11-11,39.16,41.89,38.69,40.10,52100,0.00,0.00
2020-11-12,39.65,43.13,39.65,42.53,52600,0.00,0.00
2020-11-13,42.98,48.30,42.00,47.83,119500,0.00,0.00
2020-11-16,48.00,48.75,45.74,47.84,60700,0.00,0.00
2020-11-17,47.38,52.63,47.01,51.70,123500,0.00,0.00
2020-11-18,51.70,57.66,51.70,52.90,119500,0.00,0.00
2020-11-19,52.68,57.67,52.68,54.95,65800,0.00,0.00
2020-11-20,53.38,54.67,50.88,51.71,87900,0.00,0.00
2020-11-23,52.16,54.12,47.96,48.64,90700,0.00,0.00
2020-11-24,48.91,51.33,46.30,46.91,102200,0.00,0.00
2020-11-25,46.47,48.45,44.91,45.35,88500,0.00,0.00
2020-11-27,45.39,48.10,44.61,47.67,40300,0.00,0.00
2020-11-30,48.07,54.27,47.42,51.47,203900,0.00,0.00
2020-12-01,53.29,54.63,50.74,50.97,189600,0.00,0.00
2020-12-02,50.93,51.92,49.19,49.96,99300,0.00,0.00
2020-12-03,49.99,52.99,49.08,50.56,94400,0.00,0.00
2020-12-04,50.81,53.88,50.74,51.71,132200,0.00,0.00
2020-12-07,50.58,53.00,49.63,49.97,126400,0.00,0.00
2020-12-08,50.00,51.66,49.27,49.50,186800,0.00,0.00
2020-12-09,49.61,51.92,49.01,50.07,122700,0.00,0.00
2020-12-10,49.87,63.50,48.38,59.50,231700,0.00,0.00
2020-12-11,59.13,64.20,56.83,62.14,128100,0.00,0.00
2020-12-14,63.20,75.00,62.37,72.67,234800,0.00,0.00
2020-12-15,73.20,73.64,66.91,69.92,147500,0.00,0.00
2020-12-16,70.22,72.64,69.31,71.84,131100,0.00,0.00
2020-12-17,72.56,76.97,71.33,76.46,239100,0.00,0.00
2020-12-18,79.05,82.64,73.46,76.10,1732800,0.00,0.00
2020-12-21,75.50,78.21,70.02,77.80,281900,0.00,0.00
2020-12-22,78.85,83.39,76.27,82.72,177700,0.00,0.00
2020-12-23,82.38,85.78,80.44,83.47,111700,0.00,0.00
2020-12-24,82.30,89.06,81.99,88.94,104100,0.00,0.00
2020-12-28,88.56,88.65,81.83,83.81,146600,0.00,0.00
2020-12-29,82.39,84.85,79.19,84.14,143900,0.00,0.00
2020-12-30,84.15,84.89,74.95,75.43,136400,0.00,0.00
2020-12-31,74.24,75.70,71.26,71.55,152400,0.00,0.00
2021-01-04,71.51,73.41,66.20,67.46,247100,0.00,0.00
2021-01-05,65.47,65.66,58.15,59.81,476800,0.00,0.00
2021-01-06,59.25,63.56,53.77,62.82,671000,0.00,0.00
2021-01-07,64.35,71.39,64.11,66.96,1197400,0.00,0.00
2021-01-08,66.42,71.49,66.00,66.46,285400,0.00,0.00
2021-01-11,66.09,69.05,62.72,68.22,293500,0.00,0.00
2021-01-12,66.73,72.10,66.00,69.76,191600,0.00,0.00
2021-01-13,69.77,74.24,68.32,70.65,103800,0.00,0.00
2021-01-14,70.66,75.67,70.66,75.17,97200,0.00,0.00
2021-01-15,74.94,76.75,72.04,74.45,240900,0.00,0.00
2021-01-19,74.87,76.20,71.81,74.55,133900,0.00,0.00
2021-01-20,74.04,76.19,72.64,75.68,261200,0.00,0.00
2021-01-21,75.64,79.97,74.12,76.54,171000,0.00,0.00
2021-01-22,75.64,77.54,71.13,74.43,194000,0.00,0.00
2021-01-25,74.01,77.08,71.86,74.99,304600,0.00,0.00
2021-01-26,75.08,75.08,69.00,69.93,533500,0.00,0.00
2021-01-27,68.25,70.94,62.60,64.68,436900,0.00,0.00
2021-01-28,65.80,69.45,64.28,66.42,183500,0.00,0.00
