Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-02,23.73,24.51,22.00,22.82,649900,0.00,0.00
2025-09-03,21.52,23.20,21.52,22.58,611300,0.00,0.00
2025-09-04,22.01,22.89,22.01,22.69,339700,0.00,0.00
2025-09-05,22.76,22.88,22.12,22.35,217800,0.00,0.00
2025-09-08,22.35,22.50,20.76,20.93,296500,0.00,0.00
2025-09-09,20.40,20.57,19.06,19.70,264100,0.00,0.00
2025-09-10,19.61,19.61,18.40,18.86,152400,0.00,0.00
2025-09-11,18.51,18.60,17.34,17.38,172700,0.00,0.00
2025-09-12,17.12,17.15,16.25,16.40,151300,0.00,0.00
2025-09-15,16.66,16.89,15.55,16.11,126100,0.00,0.00
2025-09-16,16.19,17.96,16.19,17.46,146500,0.00,0.00
2025-09-17,18.22,19.25,18.06,18.55,160300,0.00,0.00
2025-09-18,19.60,20.24,19.25,20.03,187600,0.00,0.00
2025-09-19,20.80,22.24,20.80,21.75,206700,0.00,0.00
2025-09-22,22.39,22.50,21.12,21.74,152600,0.00,0.00
2025-09-23,21.60,21.89,21.00,21.28,149100,0.00,0.00
2025-09-24,21.41,22.87,21.35,21.60,122000,0.00,0.00
2025-09-25,21.70,23.44,21.00,23.44,186000,0.00,0.00
2025-09-26,23.51,25.28,23.05,24.10,210800,0.00,0.00
2025-09-29,24.99,25.00,23.02,23.40,185200,0.00,0.00
2025-09-30,23.48,24.12,22.27,24.01,164000,0.00,0.00
2025-10-01,23.71,23.91,22.75,23.31,77800,0.00,0.00
2025-10-02,24.00,24.45,23.36,24.14,114600,0.00,0.00
2025-10-03,23.82,24.31,23.31,23.73,51700,0.00,0.00
2025-10-06,24.16,24.17,23.50,23.85,53400,0.00,0.00
2025-10-07,24.15,25.78,24.07,25.14,166600,0.00,0.00
2025-10-08,26.00,28.56,25.71,28.38,181700,0.00,0.00
2025-10-09,29.00,29.25,28.00,28.26,143900,0.00,0.00
2025-10-10,27.90,27.90,26.04,26.21,98200,0.00,0.00
2025-10-13,27.39,28.61,26.80,28.24,124100,0.00,0.00
2025-10-14,28.20,31.73,27.50,31.09,255500,0.00,0.00
2025-10-15,31.99,33.35,29.83,30.04,132900,0.00,0.00
2025-10-16,29.83,30.82,27.51,27.62,139800,0.00,0.00
2025-10-17,27.57,28.60,26.28,26.92,110100,0.00,0.00
2025-10-20,27.00,29.50,26.42,29.34,177600,0.00,0.00
2025-10-21,29.02,29.05,25.85,26.64,132200,0.00,0.00
2025-10-22,26.20,26.87,24.56,25.64,110000,0.00,0.00
2025-10-23,26.20,26.51,25.53,25.75,51100,0.00,0.00
2025-10-24,26.14,26.99,25.59,26.87,70300,0.00,0.00
2025-10-27,26.38,26.50,24.54,24.65,60200,0.00,0.00
2025-10-28,24.50,24.87,23.70,24.08,59100,0.00,0.00
2025-10-29,24.47,24.83,24.22,24.34,34400,0.00,0.00
2025-10-30,24.86,25.68,24.51,25.18,53600,0.00,0.00
2025-10-31,27.45,28.50,27.35,28.25,99100,0.00,0.00
2025-11-03,28.25,28.25,26.36,26.91,72200,0.00,0.00
2025-11-04,28.50,29.25,27.28,27.69,164800,0.00,0.00
2025-11-05,27.45,27.45,26.45,26.94,54500,0.00,0.00
2025-11-06,26.54,26.62,25.04,25.38,53700,0.00,0.00
2025-11-07,25.00,25.13,24.00,24.88,41600,0.00,0.00
2025-11-10,26.51,27.90,26.51,27.50,91000,0.00,0.00
2025-11-11,29.95,30.13,28.54,29.69,104900,0.00,0.00
2025-11-12,29.55,30.03,28.90,29.40,90500,0.00,0.00
2025-11-13,31.75,31.76,30.12,30.68,142800,0.00,0.00
2025-11-14,31.95,33.90,31.62,33.30,205900,0.00,0.00
2025-11-17,33.94,36.34,33.66,35.70,299900,0.00,0.00
2025-11-18,35.00,36.04,33.88,35.53,147000,0.00,0.00
2025-11-19,35.03,36.24,34.40,35.61,178400,0.00,0.00
2025-11-20,36.13,38.33,34.51,34.86,192200,0.00,0.00
2025-11-21,31.92,34.22,30.70,33.73,999900,0.00,0.00
2025-11-24,33.32,34.38,29.24,30.65,174900,0.00,0.00
2025-11-25,32.54,33.59,32.15,33.45,142700,0.00,0.00
2025-11-26,34.09,35.81,33.81,35.22,112900,0.00,0.00
2025-11-28,36.75,38.18,36.71,37.58,75100,0.00,0.00
2025-12-01,37.00,39.24,36.50,38.93,97100,0.00,0.00
2025-12-02,38.86,39.11,37.61,38.06,80400,0.00,0.00
2025-12-03,38.06,38.97,37.82,38.73,71600,0.00,0.00
2025-12-04,37.80,37.80,35.65,37.04,74700,0.00,0.00
2025-12-05,37.31,38.00,35.85,36.25,76000,0.00,0.00
2025-12-08,37.69,39.88,37.47,39.84,108600,0.00,0.00
2025-12-09,40.00,41.55,39.55,41.35,74600,0.00,0.00
2025-12-10,42.00,44.25,42.00,43.79,201900,0.00,0.00
2025-12-11,43.60,45.45,42.17,44.63,82100,0.00,0.00
2025-12-12,44.96,45.45,43.99,44.93,53800,0.00,0.00
2025-12-15,43.39,44.67,43.05,44.51,65200,0.00,0.00
2025-12-16,44.00,44.30,41.75,42.79,82500,0.00,0.00
2025-12-17,44.05,46.97,44.05,44.70,74900,0.00,0.00
2025-12-18,44.55,45.00,43.10,43.49,29500,0.00,0.00
2025-12-19,47.01,49.85,46.98,49.31,126700,0.00,0.00
2025-12-22,50.48,51.49,48.46,49.82,82800,0.00,0.00
2025-12-23,49.80,50.40,48.69,50.00,48200,0.00,0.00
2025-12-24,51.98,54.71,51.98,54.56,88500,0.00,0.00
2025-12-26,54.03,54.03,52.75,53.51,49800,0.00,0.00
2025-12-29,51.93,52.34,47.99,51.75,81500,0.00,0.00
2025-12-30,53.20,54.95,53.19,53.48,95700,0.00,0.00
2025-12-31,52.68,53.48,51.04,52.57,52900,0.00,0.00
2026-01-02,52.65,53.06,51.78,52.79,40200,0.00,0.00
2026-01-05,52.67,52.67,51.21,51.91,64500,0.00,0.00
2026-01-06,53.56,57.30,53.49,56.41,124800,0.00,0.00
2026-01-07,57.06,60.43,57.06,59.97,87400,0.00,0.00
2026-01-08,58.50,58.98,56.99,58.00,94000,0.00,0.00
2026-01-09,57.36,58.80,56.97,57.86,50600,0.00,0.00
2026-01-12,60.56,62.56,60.45,62.29,111800,0.00,0.00
2026-01-13,66.23,69.99,66.07,67.85,106800,0.00,0.00
2026-01-14,66.34,68.78,66.00,67.91,60700,0.00,0.00
2026-01-15,65.71,66.00,62.22,63.33,102100,0.00,0.00
2026-01-16,60.00,60.80,56.06,59.02,117700,0.00,0.00
2026-01-20,59.01,62.29,59.01,62.20,75300,0.00,0.00
2026-01-21,64.05,66.13,63.86,65.87,92600,0.00,0.00
2026-01-22,66.00,66.99,65.50,66.22,45400,0.00,0.00
2026-01-23,66.38,67.52,65.15,66.16,82200,0.00,0.00
2026-01-26,64.16,65.07,63.00,64.30,114800,0.00,0.00
2026-01-27,63.49,64.00,61.68,63.38,69300,0.00,0.00
2026-01-28,56.55,56.95,51.02,51.79,241500,0.00,0.00
2026-01-29,51.26,51.62,47.25,51.07,193400,0.00,0.00
2026-01-30,46.99,47.94,44.12,44.27,154700,0.00,0.00
2026-02-02,44.58,47.33,44.58,46.00,84000,0.00,0.00
2026-02-03,48.29,49.05,46.64,48.06,73100,0.00,0.00
2026-02-04,48.39,49.31,46.51,47.63,75700,0.00,0.00
2026-02-05,46.17,47.59,45.21,45.24,60800,0.00,0.00
2026-02-06,45.12,47.30,45.12,45.90,60600,0.00,0.00
2026-02-09,50.76,53.10,50.65,52.88,94400,0.00,0.00
