Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-20,9.88,9.90,9.86,9.88,0,0.00,0.00
2024-12-23,9.85,9.85,9.85,9.85,1300,0.00,0.00
2024-12-24,9.85,9.85,9.85,9.85,0,0.00,0.00
2024-12-26,9.85,9.85,9.85,9.85,0,0.00,0.00
2024-12-27,9.88,9.88,9.88,9.88,500200,0.00,0.00
2024-12-30,9.90,9.90,9.88,9.90,250300,0.00,0.00
2024-12-31,9.90,9.90,9.90,9.90,0,0.00,0.00
2025-01-02,9.88,9.89,9.88,9.89,250100,0.00,0.00
2025-01-03,9.89,9.89,9.89,9.89,0,0.00,0.00
2025-01-06,9.89,9.89,9.89,9.89,0,0.00,0.00
2025-01-07,9.89,9.89,9.89,9.89,0,0.00,0.00
2025-01-08,9.89,9.89,9.89,9.89,0,0.00,0.00
2025-01-10,9.89,9.89,9.89,9.89,130000,0.00,0.00
2025-01-13,9.89,9.89,9.89,9.89,50000,0.00,0.00
2025-01-14,9.90,9.91,9.90,9.90,162800,0.00,0.00
2025-01-15,9.91,9.91,9.91,9.91,20000,0.00,0.00
2025-01-16,9.90,9.90,9.90,9.90,400,0.00,0.00
2025-01-17,9.91,9.92,9.91,9.92,15300,0.00,0.00
2025-01-21,9.92,9.92,9.92,9.92,0,0.00,0.00
2025-01-22,9.92,9.93,9.91,9.92,39000,0.00,0.00
2025-01-23,9.92,9.92,9.92,9.92,0,0.00,0.00
2025-01-24,9.93,9.93,9.93,9.93,1900,0.00,0.00
2025-01-27,9.93,9.93,9.93,9.93,100,0.00,0.00
2025-01-28,9.93,9.93,9.93,9.93,100,0.00,0.00
2025-01-29,9.93,9.94,9.91,9.94,78300,0.00,0.00
2025-01-30,9.93,9.93,9.92,9.93,8400,0.00,0.00
2025-01-31,9.93,9.94,9.93,9.94,102100,0.00,0.00
2025-02-03,9.94,9.95,9.94,9.94,13500,0.00,0.00
2025-02-04,9.94,9.95,9.94,9.94,3300,0.00,0.00
2025-02-05,9.95,9.95,9.95,9.95,8900,0.00,0.00
2025-02-06,9.95,9.95,9.95,9.95,0,0.00,0.00
2025-02-07,10.04,10.05,9.96,9.98,105600,0.00,0.00
2025-02-10,9.95,9.95,9.95,9.95,1300,0.00,0.00
2025-02-11,9.95,9.95,9.94,9.95,30400,0.00,0.00
2025-02-12,9.95,9.95,9.95,9.95,501600,0.00,0.00
2025-02-13,9.96,9.97,9.95,9.97,19300,0.00,0.00
2025-02-14,9.97,9.97,9.97,9.97,0,0.00,0.00
2025-02-18,9.97,9.97,9.96,9.97,20700,0.00,0.00
2025-02-19,9.97,9.97,9.97,9.97,2300,0.00,0.00
2025-02-20,9.97,9.97,9.97,9.97,1100,0.00,0.00
2025-02-21,9.99,9.99,9.96,9.97,17900,0.00,0.00
