Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-11-27,15.00,15.74,11.95,12.00,7155400,0.00,0.00
2024-11-29,12.94,13.70,12.50,13.02,2335000,0.00,0.00
2024-12-02,13.17,13.75,12.80,12.86,1275800,0.00,0.00
2024-12-03,12.90,12.90,12.00,12.10,824800,0.00,0.00
2024-12-04,12.15,12.49,11.90,11.96,1312400,0.00,0.00
2024-12-05,11.96,12.61,11.96,12.61,638600,0.00,0.00
2024-12-06,12.63,12.80,12.15,12.60,361700,0.00,0.00
2024-12-09,12.99,14.84,12.78,14.53,2932800,0.00,0.00
2024-12-10,13.81,15.21,13.72,14.74,1299600,0.00,0.00
2024-12-11,14.80,16.32,13.95,14.14,1046800,0.00,0.00
2024-12-12,14.14,14.55,12.77,12.88,976800,0.00,0.00
2024-12-13,12.99,13.72,12.92,13.04,435600,0.00,0.00
2024-12-16,13.20,13.40,12.30,12.75,560700,0.00,0.00
2024-12-17,12.82,12.94,12.22,12.87,278900,0.00,0.00
2024-12-18,12.99,13.59,12.40,12.73,571800,0.00,0.00
2024-12-19,12.75,12.99,12.25,12.92,779200,0.00,0.00
2024-12-20,12.52,13.23,12.51,13.16,218300,0.00,0.00
2024-12-23,13.40,14.60,13.30,14.39,1330300,0.00,0.00
2024-12-24,14.44,14.51,12.99,13.02,571600,0.00,0.00
2024-12-26,13.20,14.38,12.99,14.24,821300,0.00,0.00
2024-12-27,14.24,14.24,13.22,13.72,573700,0.00,0.00
2024-12-30,13.80,15.60,13.60,15.25,1720100,0.00,0.00
2024-12-31,15.75,16.18,14.13,14.35,1783300,0.00,0.00
2025-01-02,15.34,15.34,14.00,15.19,621700,0.00,0.00
2025-01-03,14.97,15.13,13.80,14.68,841600,0.00,0.00
2025-01-06,14.71,15.50,14.40,15.06,1060000,0.00,0.00
2025-01-07,15.30,16.25,14.92,15.26,1976100,0.00,0.00
2025-01-08,15.30,15.38,13.50,13.66,1828200,0.00,0.00
2025-01-10,13.86,15.15,13.79,15.08,1648900,0.00,0.00
2025-01-13,14.74,14.85,13.55,14.30,772100,0.00,0.00
2025-01-14,14.61,14.75,13.73,14.13,585600,0.00,0.00
2025-01-15,14.18,14.33,13.26,13.49,783500,0.00,0.00
2025-01-16,13.50,13.64,13.21,13.37,365700,0.00,0.00
2025-01-17,13.32,13.75,12.91,13.64,821700,0.00,0.00
2025-01-21,13.70,13.70,13.15,13.28,598100,0.00,0.00
2025-01-22,13.20,13.49,12.98,13.31,681400,0.00,0.00
2025-01-23,13.26,13.53,13.11,13.35,311900,0.00,0.00
2025-01-24,13.50,13.63,13.02,13.19,856300,0.00,0.00
2025-01-27,13.10,13.21,12.51,13.10,597500,0.00,0.00
2025-01-28,12.95,13.52,12.90,13.44,430800,0.00,0.00
2025-01-29,13.35,13.44,13.16,13.29,420300,0.00,0.00
2025-01-30,13.20,13.44,13.12,13.43,269600,0.00,0.00
2025-01-31,13.40,13.48,13.05,13.16,584200,0.00,0.00
2025-02-03,13.00,13.27,12.95,13.18,352200,0.00,0.00
2025-02-04,13.20,13.42,13.01,13.01,335100,0.00,0.00
2025-02-05,13.00,13.20,12.82,13.20,317700,0.00,0.00
2025-02-06,13.85,13.85,12.72,13.19,1642000,0.00,0.00
2025-02-07,13.47,14.06,13.34,14.00,1458000,0.00,0.00
2025-02-10,14.27,15.10,14.07,15.02,2962800,0.00,0.00
2025-02-11,14.60,14.60,13.95,14.09,480900,0.00,0.00
2025-02-12,14.28,17.04,14.14,16.00,2281900,0.00,0.00
2025-02-13,15.51,15.60,14.71,14.86,1009400,0.00,0.00
2025-02-14,17.80,17.90,16.02,16.54,3480700,0.00,0.00
2025-02-18,17.38,18.49,16.25,18.31,3054900,0.00,0.00
