Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-28,39.00,41.94,37.46,40.00,41091100,0.00,0.00
2025-03-31,38.49,38.49,36.00,37.08,15194800,0.00,0.00
2025-04-01,38.50,53.27,37.20,52.57,38327800,0.00,0.00
2025-04-02,55.91,64.62,51.40,61.36,52666800,0.00,0.00
2025-04-03,55.39,57.65,48.26,53.80,27120600,0.00,0.00
2025-04-04,49.60,51.00,43.51,47.82,14469600,0.00,0.00
2025-04-07,43.88,52.00,42.16,49.85,11414700,0.00,0.00
2025-04-08,54.15,54.80,42.36,43.61,13657200,0.00,0.00
2025-04-09,43.72,49.88,39.12,48.77,17229700,0.00,0.00
2025-04-10,46.90,47.00,41.84,42.20,9404300,0.00,0.00
2025-04-11,42.50,44.88,41.02,43.75,5579500,0.00,0.00
2025-04-14,46.79,46.85,42.40,43.61,4827000,0.00,0.00
2025-04-15,43.56,44.74,40.00,40.78,6841300,0.00,0.00
2025-04-16,40.17,40.84,38.26,40.73,7206800,0.00,0.00
2025-04-17,41.05,41.63,38.35,39.09,4844600,0.00,0.00
2025-04-21,38.62,38.64,33.51,35.42,8116200,0.00,0.00
2025-04-22,36.98,39.61,36.00,38.51,9589300,0.00,0.00
2025-04-23,42.08,43.95,40.16,41.62,7651500,0.00,0.00
2025-04-24,42.55,43.50,38.80,41.77,9376700,0.00,0.00
2025-04-25,41.95,44.36,40.90,41.54,8765600,0.00,0.00
2025-04-28,42.01,43.33,39.78,42.02,5194600,0.00,0.00
2025-04-29,42.21,46.45,41.01,42.82,10493600,0.00,0.00
2025-04-30,41.00,41.51,39.50,41.30,6100200,0.00,0.00
2025-05-01,47.03,48.35,44.03,44.32,13001600,0.00,0.00
2025-05-02,46.94,51.82,45.80,51.57,9199600,0.00,0.00
2025-05-05,50.43,52.78,49.70,51.01,6432300,0.00,0.00
2025-05-06,49.36,54.83,49.06,54.29,9644400,0.00,0.00
2025-05-07,54.91,54.91,51.40,53.60,5940300,0.00,0.00
2025-05-08,54.71,55.70,52.77,55.00,6264000,0.00,0.00
2025-05-09,55.96,56.82,50.18,51.37,7948900,0.00,0.00
2025-05-12,54.30,59.44,52.90,58.49,10619000,0.00,0.00
2025-05-13,57.60,64.87,57.32,63.26,10125900,0.00,0.00
2025-05-14,66.00,68.50,64.00,67.46,25124600,0.00,0.00
2025-05-15,68.87,72.97,61.33,65.77,36202100,0.00,0.00
2025-05-16,68.07,84.00,67.55,80.30,42984000,0.00,0.00
2025-05-19,76.90,88.90,76.08,86.59,33360500,0.00,0.00
2025-05-20,89.67,96.35,83.31,90.24,34969200,0.00,0.00
2025-05-21,89.46,109.49,89.30,107.39,61681600,0.00,0.00
