Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-11-29,9.95,9.95,9.94,9.94,3000,0.00,0.00
2024-12-02,9.94,9.94,9.94,9.94,0,0.00,0.00
2024-12-03,9.95,9.95,9.95,9.95,2144400,0.00,0.00
2024-12-04,9.96,9.96,9.96,9.96,7100,0.00,0.00
2024-12-05,10.08,10.50,9.95,9.95,407600,0.00,0.00
2024-12-06,9.98,10.03,9.95,9.96,18900,0.00,0.00
2024-12-09,9.95,9.98,9.95,9.95,2900,0.00,0.00
2024-12-10,9.94,9.94,9.94,9.94,700,0.00,0.00
2024-12-11,10.29,11.02,9.95,9.97,15600,0.00,0.00
2024-12-12,9.96,9.96,9.95,9.96,24100,0.00,0.00
2024-12-13,9.97,9.98,9.95,9.96,81000,0.00,0.00
2024-12-16,9.95,9.96,9.95,9.95,249300,0.00,0.00
2024-12-17,9.95,11.06,9.94,9.94,81400,0.00,0.00
2024-12-18,9.95,9.95,9.93,9.94,398800,0.00,0.00
2024-12-19,9.94,9.94,9.94,9.94,0,0.00,0.00
2024-12-20,9.94,9.94,9.93,9.94,174000,0.00,0.00
2024-12-23,9.94,9.95,9.94,9.95,31300,0.00,0.00
2024-12-24,9.94,9.94,9.94,9.94,106600,0.00,0.00
2024-12-26,9.89,9.96,9.89,9.94,163100,0.00,0.00
2024-12-27,9.94,9.94,9.94,9.94,0,0.00,0.00
2024-12-30,9.94,9.96,9.94,9.95,31600,0.00,0.00
2024-12-31,9.95,9.95,9.95,9.95,0,0.00,0.00
2025-01-02,9.95,10.02,9.94,9.95,143100,0.00,0.00
2025-01-03,9.95,9.95,9.95,9.95,0,0.00,0.00
2025-01-06,9.95,9.95,9.95,9.95,0,0.00,0.00
2025-01-07,9.95,9.96,9.95,9.96,29200,0.00,0.00
2025-01-08,9.97,10.05,9.97,10.00,262000,0.00,0.00
2025-01-10,9.98,10.02,9.95,10.00,21100,0.00,0.00
2025-01-13,9.98,9.98,9.96,9.96,16900,0.00,0.00
2025-01-14,9.97,9.97,9.96,9.96,312300,0.00,0.00
2025-01-15,9.96,9.96,9.96,9.96,17700,0.00,0.00
2025-01-16,9.95,9.96,9.95,9.96,18500,0.00,0.00
2025-01-17,9.96,9.96,9.96,9.96,0,0.00,0.00
2025-01-21,9.96,9.96,9.96,9.96,0,0.00,0.00
2025-01-22,9.96,10.05,9.96,9.97,46300,0.00,0.00
2025-01-23,10.01,10.01,9.98,9.98,16200,0.00,0.00
2025-01-24,9.97,9.99,9.97,9.98,27500,0.00,0.00
2025-01-27,9.98,9.98,9.98,9.98,10500,0.00,0.00
2025-01-28,9.98,9.99,9.98,9.99,10500,0.00,0.00
2025-01-29,9.99,9.99,9.99,9.99,0,0.00,0.00
2025-01-30,9.98,9.98,9.98,9.98,4200,0.00,0.00
2025-01-31,9.98,9.98,9.98,9.98,0,0.00,0.00
2025-02-03,9.98,9.98,9.98,9.98,0,0.00,0.00
2025-02-04,9.98,9.98,9.98,9.98,0,0.00,0.00
2025-02-05,9.99,10.04,9.99,10.04,4900,0.00,0.00
2025-02-06,10.02,10.04,10.01,10.02,92700,0.00,0.00
2025-02-07,10.02,10.02,10.02,10.02,0,0.00,0.00
2025-02-10,10.01,10.04,10.01,10.04,5400,0.00,0.00
2025-02-11,10.02,10.02,10.00,10.01,762800,0.00,0.00
2025-02-12,10.02,10.02,10.01,10.02,697500,0.00,0.00
2025-02-13,10.02,10.05,10.02,10.02,101700,0.00,0.00
2025-02-14,10.02,10.02,10.02,10.02,0,0.00,0.00
2025-02-18,10.03,10.03,10.03,10.03,1400,0.00,0.00
2025-02-19,10.03,10.03,10.02,10.03,9500,0.00,0.00
2025-02-20,10.02,10.03,10.02,10.03,2300,0.00,0.00
2025-02-21,10.02,10.03,10.02,10.03,7100,0.00,0.00
2025-02-24,10.03,10.03,10.03,10.03,1100,0.00,0.00
2025-02-25,10.03,10.03,10.03,10.03,2700,0.00,0.00
2025-02-26,10.03,10.04,10.03,10.04,7000,0.00,0.00
2025-02-27,10.04,10.17,10.03,10.04,58100,0.00,0.00
2025-02-28,10.03,10.06,10.03,10.06,69200,0.00,0.00
2025-03-03,10.04,10.07,10.04,10.06,201100,0.00,0.00
2025-03-04,10.06,10.06,10.04,10.04,110600,0.00,0.00
2025-03-05,10.04,10.04,10.04,10.04,0,0.00,0.00
2025-03-06,10.04,10.05,10.04,10.05,34600,0.00,0.00
2025-03-07,10.05,10.06,10.05,10.06,26600,0.00,0.00
2025-03-10,10.06,10.06,10.06,10.06,1100,0.00,0.00
2025-03-11,10.07,10.07,10.06,10.06,520600,0.00,0.00
2025-03-12,10.06,10.07,10.06,10.07,35800,0.00,0.00
2025-03-13,10.07,10.07,10.06,10.07,20800,0.00,0.00
2025-03-14,10.07,10.08,10.07,10.08,5400,0.00,0.00
2025-03-17,10.08,10.08,10.07,10.08,33200,0.00,0.00
2025-03-18,10.08,10.08,10.08,10.08,100,0.00,0.00
2025-03-19,10.04,10.04,10.04,10.04,100,0.00,0.00
2025-03-20,10.08,10.10,10.08,10.10,29800,0.00,0.00
2025-03-21,10.09,10.09,10.09,10.09,400,0.00,0.00
2025-03-24,10.09,10.11,10.09,10.10,1700,0.00,0.00
2025-03-25,10.12,10.12,10.10,10.12,2500,0.00,0.00
2025-03-26,10.11,10.12,10.11,10.11,8500,0.00,0.00
2025-03-27,10.12,10.12,10.12,10.12,200,0.00,0.00
2025-03-28,10.12,10.12,10.12,10.12,0,0.00,0.00
2025-03-31,10.12,10.12,10.11,10.12,6200,0.00,0.00
2025-04-01,10.11,10.11,10.10,10.10,7200,0.00,0.00
2025-04-02,10.12,10.12,10.12,10.12,500,0.00,0.00
2025-04-03,10.11,10.12,10.11,10.11,3600,0.00,0.00
2025-04-04,10.11,10.11,10.11,10.11,0,0.00,0.00
2025-04-07,10.12,10.12,10.12,10.12,800,0.00,0.00
2025-04-08,10.09,10.11,10.09,10.11,100800,0.00,0.00
2025-04-09,10.11,10.12,10.11,10.12,1000,0.00,0.00
2025-04-10,10.11,10.13,10.11,10.12,108400,0.00,0.00
2025-04-11,10.13,10.13,10.13,10.13,12200,0.00,0.00
2025-04-14,10.12,10.12,10.12,10.12,227700,0.00,0.00
2025-04-15,10.14,10.14,10.14,10.14,900,0.00,0.00
2025-04-16,10.12,10.12,10.11,10.12,10800,0.00,0.00
2025-04-17,10.12,10.13,10.12,10.13,3800,0.00,0.00
2025-04-21,10.13,10.14,10.13,10.13,2300,0.00,0.00
2025-04-22,10.13,10.13,10.13,10.13,0,0.00,0.00
2025-04-23,10.14,10.14,10.14,10.14,9000,0.00,0.00
2025-04-24,10.13,10.14,10.13,10.14,94100,0.00,0.00
2025-04-25,10.15,10.17,10.15,10.17,10900,0.00,0.00
2025-04-28,10.15,10.16,10.15,10.16,163600,0.00,0.00
2025-04-29,10.16,10.16,10.16,10.16,0,0.00,0.00
2025-04-30,10.18,10.20,10.18,10.20,637400,0.00,0.00
2025-05-01,10.21,10.23,10.21,10.23,106200,0.00,0.00
2025-05-02,10.24,10.24,10.24,10.24,600,0.00,0.00
2025-05-05,10.24,10.24,10.24,10.24,0,0.00,0.00
2025-05-06,10.24,10.24,10.24,10.24,8100,0.00,0.00
2025-05-07,10.24,10.24,10.23,10.24,13800,0.00,0.00
2025-05-08,10.23,10.32,10.22,10.29,39100,0.00,0.00
2025-05-09,10.32,10.32,10.27,10.31,95500,0.00,0.00
2025-05-12,10.29,10.30,10.27,10.28,33200,0.00,0.00
2025-05-13,10.30,10.31,10.27,10.31,40600,0.00,0.00
2025-05-14,10.32,10.34,10.32,10.32,18100,0.00,0.00
2025-05-15,10.32,10.34,10.32,10.33,7800,0.00,0.00
2025-05-16,10.32,10.35,10.32,10.33,31200,0.00,0.00
2025-05-19,10.35,10.37,10.35,10.36,294500,0.00,0.00
2025-05-20,10.36,10.37,10.36,10.37,1000,0.00,0.00
2025-05-21,10.30,10.36,10.30,10.34,130000,0.00,0.00
2025-05-22,10.35,10.35,10.30,10.31,150900,0.00,0.00
2025-05-23,10.31,10.35,10.31,10.31,2800,0.00,0.00
2025-05-27,10.31,10.31,10.31,10.31,700,0.00,0.00
2025-05-28,10.37,10.37,10.35,10.35,277700,0.00,0.00
2025-05-29,10.37,10.37,10.31,10.34,14600,0.00,0.00
2025-05-30,10.36,10.36,10.34,10.34,15200,0.00,0.00
2025-06-02,10.37,10.37,10.33,10.35,1100,0.00,0.00
2025-06-03,10.37,10.37,10.37,10.37,2600,0.00,0.00
2025-06-04,10.35,10.43,10.35,10.43,21400,0.00,0.00
2025-06-05,10.44,10.47,10.42,10.45,4600,0.00,0.00
2025-06-06,10.43,10.48,10.43,10.48,800,0.00,0.00
2025-06-09,10.46,10.50,10.45,10.48,7200,0.00,0.00
2025-06-10,10.49,10.49,10.49,10.49,300,0.00,0.00
2025-06-11,10.50,10.50,10.46,10.46,30100,0.00,0.00
2025-06-12,10.48,10.52,10.48,10.51,168000,0.00,0.00
2025-06-13,10.48,10.49,10.48,10.48,73400,0.00,0.00
2025-06-16,10.52,10.52,10.47,10.48,99000,0.00,0.00
2025-06-17,10.46,10.48,10.46,10.48,50800,0.00,0.00
2025-06-18,10.48,10.50,10.48,10.50,10900,0.00,0.00
2025-06-20,10.50,10.50,10.50,10.50,0,0.00,0.00
2025-06-23,10.48,10.50,10.47,10.48,501500,0.00,0.00
2025-06-24,10.53,10.54,10.48,10.48,368700,0.00,0.00
2025-06-25,10.48,10.48,10.40,10.40,80400,0.00,0.00
2025-06-26,10.44,10.44,10.40,10.44,6600,0.00,0.00
2025-06-27,10.40,10.43,10.40,10.43,219800,0.00,0.00
2025-06-30,10.42,10.43,10.42,10.42,5100,0.00,0.00
2025-07-01,10.43,10.45,10.41,10.45,245800,0.00,0.00
2025-07-02,10.43,10.43,10.42,10.43,23400,0.00,0.00
2025-07-03,10.42,10.42,10.41,10.42,14300,0.00,0.00
2025-07-07,10.43,10.43,10.42,10.43,20300,0.00,0.00
2025-07-08,10.43,10.43,10.42,10.42,126500,0.00,0.00
2025-07-09,10.43,10.43,10.42,10.42,2400,0.00,0.00
2025-07-10,10.39,10.41,10.39,10.41,1100,0.00,0.00
2025-07-11,10.42,10.43,10.42,10.43,53800,0.00,0.00
2025-07-14,10.42,10.43,10.42,10.43,8100,0.00,0.00
2025-07-15,10.43,10.44,10.43,10.43,131600,0.00,0.00
2025-07-16,10.43,10.43,10.43,10.43,1100,0.00,0.00
2025-07-17,10.43,10.43,10.43,10.43,13400,0.00,0.00
2025-07-18,10.42,10.43,10.42,10.43,14800,0.00,0.00
2025-07-21,10.42,10.44,10.42,10.44,3400,0.00,0.00
2025-07-22,10.44,10.44,10.44,10.44,0,0.00,0.00
2025-07-23,10.42,10.43,10.42,10.43,1700,0.00,0.00
2025-07-24,10.43,10.43,10.43,10.43,0,0.00,0.00
2025-07-25,10.43,10.43,10.42,10.42,1400,0.00,0.00
2025-07-28,10.42,10.42,10.42,10.42,300,0.00,0.00
2025-07-29,10.43,10.43,10.43,10.43,7800,0.00,0.00
2025-07-30,10.43,10.43,10.43,10.43,1300,0.00,0.00
2025-07-31,10.44,10.44,10.44,10.44,1700,0.00,0.00
2025-08-01,10.44,10.44,10.38,10.42,5400,0.00,0.00
2025-08-04,10.42,10.44,10.42,10.44,200,0.00,0.00
2025-08-05,10.43,10.43,10.42,10.43,8300,0.00,0.00
2025-08-06,10.42,10.42,10.42,10.42,1500,0.00,0.00
2025-08-07,10.42,10.42,10.42,10.42,4100,0.00,0.00
2025-08-08,10.40,10.42,10.40,10.42,9200,0.00,0.00
2025-08-11,10.44,10.44,10.38,10.41,652200,0.00,0.00
2025-08-12,10.40,10.40,10.39,10.39,23100,0.00,0.00
2025-08-13,10.39,10.39,10.38,10.38,30000,0.00,0.00
2025-08-14,10.41,10.41,10.41,10.41,1100,0.00,0.00
2025-08-15,10.40,10.40,10.40,10.40,1500,0.00,0.00
2025-08-18,10.40,10.40,10.40,10.40,0,0.00,0.00
2025-08-19,10.40,10.40,10.40,10.40,0,0.00,0.00
2025-08-20,10.42,10.42,10.42,10.42,1400,0.00,0.00
2025-08-21,10.43,10.43,10.43,10.43,1000,0.00,0.00
2025-08-22,10.43,10.43,10.43,10.43,0,0.00,0.00
2025-08-25,10.42,10.42,10.42,10.42,100,0.00,0.00
2025-08-26,10.43,10.43,10.41,10.42,1600,0.00,0.00
2025-08-27,10.42,10.42,10.42,10.42,3800,0.00,0.00
2025-08-28,10.42,10.42,10.42,10.42,6900,0.00,0.00
2025-08-29,10.42,10.42,10.42,10.42,3500,0.00,0.00
2025-09-02,10.42,10.42,10.42,10.42,0,0.00,0.00
2025-09-03,10.42,10.42,10.39,10.42,80100,0.00,0.00
2025-09-04,10.43,10.43,10.42,10.43,5600,0.00,0.00
2025-09-05,10.43,10.43,10.43,10.43,1600,0.00,0.00
2025-09-08,10.43,10.43,10.43,10.43,0,0.00,0.00
2025-09-09,10.43,10.43,10.43,10.43,0,0.00,0.00
2025-09-10,10.43,10.43,10.43,10.43,0,0.00,0.00
2025-09-11,10.43,10.43,10.43,10.43,0,0.00,0.00
2025-09-12,10.43,10.43,10.43,10.43,0,0.00,0.00
2025-09-15,10.42,10.42,10.42,10.42,1500,0.00,0.00
2025-09-16,10.42,10.44,10.42,10.44,2700,0.00,0.00
2025-09-17,10.44,10.44,10.44,10.44,1200,0.00,0.00
2025-09-18,10.44,10.44,10.44,10.44,0,0.00,0.00
2025-09-19,10.44,10.44,10.44,10.44,2200,0.00,0.00
2025-09-22,10.44,10.44,10.44,10.44,0,0.00,0.00
2025-09-23,10.43,10.43,10.43,10.43,500,0.00,0.00
2025-09-24,10.43,10.43,10.43,10.43,0,0.00,0.00
2025-09-25,10.43,10.43,10.43,10.43,0,0.00,0.00
2025-09-26,10.42,10.43,10.42,10.43,10600,0.00,0.00
2025-09-29,10.44,10.45,10.44,10.45,1300,0.00,0.00
2025-09-30,10.45,10.45,10.45,10.45,200,0.00,0.00
