Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-20,9.90,10.01,9.87,9.92,17400,0.00,0.00
2026-03-23,9.88,9.99,9.88,9.90,65400,0.00,0.00
2026-03-24,9.87,9.90,9.87,9.87,2200,0.00,0.00
2026-03-25,9.90,9.92,9.87,9.87,152600,0.00,0.00
2026-03-26,9.87,9.88,9.86,9.86,237300,0.00,0.00
2026-03-27,9.86,9.87,9.78,9.87,169900,0.00,0.00
2026-03-30,9.86,9.86,9.86,9.86,100,0.00,0.00
2026-03-31,9.90,9.90,9.86,9.86,600,0.00,0.00
2026-04-01,9.85,9.85,9.85,9.85,1000,0.00,0.00
2026-04-02,9.90,9.90,9.90,9.90,3300,0.00,0.00
2026-04-06,9.89,9.91,9.87,9.87,14400,0.00,0.00
2026-04-07,9.87,9.87,9.86,9.86,1400,0.00,0.00
2026-04-08,9.86,9.90,9.86,9.89,3800,0.00,0.00
2026-04-09,9.89,9.89,9.89,9.89,0,0.00,0.00
2026-04-10,9.90,9.90,9.88,9.88,26600,0.00,0.00
2026-04-13,9.88,9.88,9.88,9.88,0,0.00,0.00
2026-04-14,9.88,9.88,9.88,9.88,0,0.00,0.00
2026-04-15,9.86,9.87,9.86,9.87,7300,0.00,0.00
2026-04-16,9.90,9.90,9.88,9.89,29300,0.00,0.00
2026-04-17,9.90,9.91,9.90,9.91,30200,0.00,0.00
2026-04-20,9.92,9.92,9.92,9.92,22300,0.00,0.00
2026-04-21,9.92,9.92,9.92,9.92,1100,0.00,0.00
2026-04-22,9.93,9.93,9.93,9.93,60000,0.00,0.00
2026-04-23,9.94,9.94,9.94,9.94,200,0.00,0.00
2026-04-24,9.91,9.93,9.91,9.92,300,0.00,0.00
2026-04-27,9.92,9.92,9.92,9.92,52200,0.00,0.00
2026-04-28,9.91,9.92,9.91,9.92,7500,0.00,0.00
2026-04-29,9.92,9.92,9.91,9.91,16300,0.00,0.00
2026-04-30,9.90,9.92,9.90,9.90,1000,0.00,0.00
2026-05-01,9.93,9.93,9.91,9.91,800,0.00,0.00
2026-05-04,9.90,9.92,9.88,9.88,37800,0.00,0.00
2026-05-05,9.91,9.91,9.88,9.88,121500,0.00,0.00
2026-05-06,9.88,9.91,9.87,9.91,13400,0.00,0.00
2026-05-07,9.92,9.92,9.90,9.90,5100,0.00,0.00
2026-05-08,9.89,9.91,9.89,9.89,3300,0.00,0.00
2026-05-11,9.96,9.96,9.89,9.91,39300,0.00,0.00
2026-05-12,9.90,9.95,9.90,9.92,324800,0.00,0.00
2026-05-13,9.89,9.89,9.89,9.89,400,0.00,0.00
2026-05-14,9.92,9.92,9.91,9.91,47600,0.00,0.00
2026-05-15,9.92,9.93,9.90,9.90,169000,0.00,0.00
2026-05-18,9.93,9.93,9.93,9.93,700,0.00,0.00
2026-05-19,9.93,9.93,9.91,9.92,101200,0.00,0.00
2026-05-20,9.93,9.93,9.91,9.91,1300,0.00,0.00
2026-05-21,9.95,9.95,9.91,9.91,12900,0.00,0.00
2026-05-22,9.91,9.95,9.91,9.91,18700,0.00,0.00
2026-05-26,9.93,9.93,9.92,9.92,20500,0.00,0.00
2026-05-27,9.93,9.95,9.92,9.92,37600,0.00,0.00
2026-05-28,9.92,9.92,9.91,9.91,3800,0.00,0.00
2026-05-29,9.92,9.93,9.92,9.92,60200,0.00,0.00
2026-06-01,9.92,9.94,9.92,9.94,202300,0.00,0.00
2026-06-02,9.94,9.96,9.93,9.95,354600,0.00,0.00
2026-06-03,9.95,9.95,9.95,9.95,400,0.00,0.00
