Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-06-28,10.01,10.05,10.00,10.05,17000,0.00,0.00
2022-06-29,10.00,10.00,10.00,10.00,20000,0.00,0.00
2022-06-30,10.00,10.00,10.00,10.00,16500,0.00,0.00
2022-07-01,10.00,10.00,10.00,10.00,0,0.00,0.00
2022-07-05,10.00,10.00,10.00,10.00,0,0.00,0.00
2022-07-06,10.00,10.00,10.00,10.00,0,0.00,0.00
2022-07-07,10.00,10.00,10.00,10.00,25000,0.00,0.00
2022-07-08,9.98,9.98,9.98,9.98,26200,0.00,0.00
2022-07-11,9.98,9.98,9.98,9.98,0,0.00,0.00
2022-07-12,9.98,9.98,9.98,9.98,0,0.00,0.00
2022-07-13,9.98,9.98,9.98,9.98,0,0.00,0.00
2022-07-14,9.98,9.98,9.98,9.98,0,0.00,0.00
2022-07-15,9.98,9.98,9.98,9.98,0,0.00,0.00
2022-07-18,9.99,9.99,9.99,9.99,25000,0.00,0.00
2022-07-19,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-07-20,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-07-21,9.99,9.99,9.99,9.99,0,0.00,0.00
2022-07-22,10.01,10.03,10.01,10.03,6300,0.00,0.00
2022-07-25,10.03,10.03,10.03,10.03,30000,0.00,0.00
2022-07-26,10.04,10.04,10.04,10.04,3800,0.00,0.00
2022-07-27,10.02,10.02,10.02,10.02,40000,0.00,0.00
2022-07-28,10.05,10.05,10.02,10.02,35400,0.00,0.00
2022-07-29,10.02,10.02,10.02,10.02,0,0.00,0.00
2022-08-01,10.02,10.02,10.02,10.02,0,0.00,0.00
2022-08-02,10.02,10.02,10.02,10.02,0,0.00,0.00
2022-08-03,10.02,10.02,10.02,10.02,0,0.00,0.00
2022-08-04,10.02,10.02,10.02,10.02,0,0.00,0.00
2022-08-05,10.02,10.02,10.02,10.02,300,0.00,0.00
2022-08-08,10.10,10.10,10.10,10.10,300,0.00,0.00
2022-08-09,10.02,10.04,10.00,10.02,24700,0.00,0.00
2022-08-10,9.99,9.99,9.99,9.99,2900,0.00,0.00
2022-08-11,10.03,10.03,10.03,10.03,800,0.00,0.00
2022-08-12,10.05,10.05,10.05,10.05,1300,0.00,0.00
2022-08-15,10.05,10.05,10.05,10.05,0,0.00,0.00
2022-08-16,10.07,10.07,10.07,10.07,15500,0.00,0.00
2022-08-17,10.07,10.07,10.07,10.07,0,0.00,0.00
2022-08-18,10.07,10.07,10.07,10.07,0,0.00,0.00
2022-08-19,10.07,10.07,10.07,10.07,0,0.00,0.00
2022-08-22,10.07,10.07,10.07,10.07,0,0.00,0.00
2022-08-23,10.07,10.07,10.07,10.07,0,0.00,0.00
2022-08-24,10.07,10.07,10.07,10.07,0,0.00,0.00
2022-08-25,10.07,10.07,10.07,10.07,0,0.00,0.00
